"Particular matter 1 concentration","Particular matter 10 concentration","Particular matter 10 AQI US ranking","Particular matter 25 concentration","Particular matter 25 AQI US ranking","Name of measuring device","Time of measurement","Air temperature in celsius","Air pressure","Air humidity"
6,14,13,8,33,"ITSU2030 - Studio Present","2023-07-03T08:00:00.000Z",25,100036,45
6,15,14,8,33,"ITSU2030 - Studio Present","2023-07-03T07:00:00.000Z",24,100036,51
7,18,16,10,41,"ITSU2030 - Studio Present","2023-07-03T06:00:00.000Z",22,100033,59
7,17,15,10,41,"ITSU2030 - Studio Present","2023-07-03T05:00:00.000Z",19,100011,70
7,17,15,10,41,"ITSU2030 - Studio Present","2023-07-03T04:00:00.000Z",17,99976,76
6,15,14,8,33,"ITSU2030 - Studio Present","2023-07-03T03:00:00.000Z",16,99953,77
5,11,10,7,29,"ITSU2030 - Studio Present","2023-07-03T02:00:00.000Z",16,99931,78
4,8,7,5,21,"ITSU2030 - Studio Present","2023-07-03T01:00:00.000Z",17,99919,74
3,8,7,5,21,"ITSU2030 - Studio Present","2023-07-03T00:00:00.000Z",18,99911,69
3,8,7,4,17,"ITSU2030 - Studio Present","2023-07-02T23:00:00.000Z",19,99892,68
3,7,6,5,21,"ITSU2030 - Studio Present","2023-07-02T22:00:00.000Z",20,99879,66
3,9,8,5,21,"ITSU2030 - Studio Present","2023-07-02T21:00:00.000Z",21,99833,64
3,10,9,5,21,"ITSU2030 - Studio Present","2023-07-02T20:00:00.000Z",22,99763,61
4,11,10,6,25,"ITSU2030 - Studio Present","2023-07-02T19:00:00.000Z",24,99680,55
3,8,7,4,17,"ITSU2030 - Studio Present","2023-07-02T18:00:00.000Z",25,99599,51
2,5,5,3,12,"ITSU2030 - Studio Present","2023-07-02T17:00:00.000Z",28,99557,45
2,5,5,3,12,"ITSU2030 - Studio Present","2023-07-02T16:00:00.000Z",31,99531,39
3,7,6,4,17,"ITSU2030 - Studio Present","2023-07-02T15:00:00.000Z",29,99490,44
5,10,9,6,25,"ITSU2030 - Studio Present","2023-07-02T14:00:00.000Z",31,99462,40
6,15,14,8,33,"ITSU2030 - Studio Present","2023-07-02T13:00:00.000Z",30,99460,43
6,14,13,9,37,"ITSU2030 - Studio Present","2023-07-02T12:00:00.000Z",27,99453,50
8,18,16,11,45,"ITSU2030 - Studio Present","2023-07-02T11:00:00.000Z",26,99467,56
7,17,15,10,41,"ITSU2030 - Studio Present","2023-07-02T10:00:00.000Z",24,99506,60
9,21,19,12,50,"ITSU2030 - Studio Present","2023-07-02T09:00:00.000Z",24,99524,64
9,18,16,11,45,"ITSU2030 - Studio Present","2023-07-02T08:00:00.000Z",23,99525,68
